id,score_date,score
1,2021-12-09T11:54:53,70
1,2021-11-10T11:50:53,80
1,2021-11-10T11:53:53,100
1,2021-12-10T12:49:53,100
2,2020-11-09T11:54:53,70
2,2020-10-10T11:50:53,80
2,2020-10-10T11:53:53,100
2,2020-11-10T11:49:53,100
3,2019-11-09T11:54:53,70
3,2019-10-10T11:50:53,80
3,2019-10-10T11:53:53,100
3,2019-11-10T12:49:53,100
4,2018-11-09T11:54:53,70
4,2018-10-10T11:50:53,80
4,2018-10-10T11:53:53,100
4,2018-11-10T12:49:53,100
5,2017-11-09T11:54:53,70
5,2017-10-10T11:50:53,80
5,2017-10-10T11:53:53,100
5,2017-11-10T12:49:53,100
